CI,ISF,NASDAQ,NYSE,Other,one_m_diff_volume,three_m_diff_volume,six_m_diff_volume,one_y_diff_volume,two_y_diff_volume,three_y_diff_volume,one_m_diff_shareprice,three_m_diff_shareprice,six_m_diff_shareprice,one_y_diff_shareprice,two_y_diff_shareprice,three_y_diff_shareprice,Date_End(t=1),Date_End(t=12),Date_End(t=24),Date_End(t=3),Date_End(t=36),Date_End(t=6),Sharing Firm Introduced,Relatedness with Sharing Firm,Exchange
0,0,0,1,0,-60.61615320566195,69.83842010771993,6.292134831460674,-71.49314449299382,29.589041095890412,-32.669039145907476,0.44444444444445075,-12.538699690402472,7.824427480916032,54.37158469945356,-4.318374259102454,32.941176470588246,2004-02-29,2004-02-29,2004-02-29,2004-02-29,2004-02-29,2004-02-29,No,Less Closely Related,NYSE
0,1,0,1,0,155.4968287526427,165.43340380549682,39.482029598308664,70.19027484143763,92.8646934460888,258.29809725158566,3.539823008849545,8.407079646017692,6.991150442477869,-14.778761061946902,24.601769911504416,87.25663716814158,2004-03-29,2005-02-28,2006-02-28,2004-05-29,2007-02-28,2004-08-29,Yes,Less Closely Related,NYSE
1,0,0,1,0,389.21854779394647,-40.829973008550105,68.36726070439431,25.412054267324002,4.444298683029048,113.4575640847266,-5.746251957932407,22.390748489074845,44.560367904454665,202.4484813671286,66.06347328996648,21.32960797303916,2010-02-01,2010-02-01,2010-02-01,2010-02-01,2010-02-01,2010-02-01,No,Closely Related,NYSE
1,1,0,1,0,-38.087259897072066,-49.7624483849773,-71.70166980753704,-13.525835938566763,-48.63758701225915,-79.42735454661802,6.573761929632958,7.003466122216418,7.988699491951949,5.3677413228241715,-12.57775034423817,-24.170267318740798,2010-03-01,2011-02-01,2012-02-01,2010-05-01,2013-02-01,2010-08-01,Yes,Closely Related,NYSE
0,0,1,0,0,401.75525585085285,10.889513744759283,-28.707299340010255,-64.2933510418703,-11.617873113471212,-34.74402924053539,19.445869676757326,35.74344023323617,41.778319123020694,199.61389961389963,-9.239766081871336,-13.42506507995537,2010-02-01,2010-02-01,2010-02-01,2010-02-01,2010-02-01,2010-02-01,No,Less Closely Related,NASDAQ
0,1,1,0,0,-28.624819653339127,40.476905745399925,-28.861592584540585,148.76553945886118,-24.24649682787517,33.20157321580331,6.529209621993124,-0.42955326460481713,-3.651202749140899,22.508591065292087,20.48969072164948,50.42955326460482,2010-03-01,2011-02-01,2012-02-01,2010-05-01,2013-02-01,2010-08-01,Yes,Less Closely Related,NASDAQ
1,0,0,1,0,5.938337132493636,-82.31138300148076,91.17823684842662,30.97050232443329,18849.404761904763,409.9719663596316,-9.280614485766522,-12.386805295243354,-29.782086791070544,-42.16413212879475,-11.570028508560865,-25.747813825429294,2007-12-31,2007-12-31,2007-12-31,2007-12-31,2007-12-31,2007-12-31,No,Closely Related,NYSE
1,1,0,1,0,101.8470237160358,-57.12737553007696,-39.20213601382127,98.33673629652898,-47.97549866499136,13.260562274226482,-11.091720428896874,-13.218190211333411,-23.39079230327527,-51.896596372316104,-17.413708336617244,13.39082983362795,2008-01-31,2008-12-31,2009-12-31,2008-03-31,2010-12-31,2008-06-30,Yes,Closely Related,NYSE
0,0,0,1,0,-82.89774568633644,-72.2351502153114,-55.693709437982086,14.653796920947935,-26.684777559011568,2.4504760727092867,-7.803992740471864,51.1904761904762,-21.966205837173575,-27.11621233859397,-33.68146214099217,-53.73406193078324,2007-12-31,2007-12-31,2007-12-31,2007-12-31,2007-12-31,2007-12-31,No,Less Closely Related,NYSE
0,1,0,1,0,258.1947021002586,112.47699202309668,83.43558430303784,86.07161953224859,175.75620053662146,35.32588951101788,-13.385826771653536,11.41732283464567,9.448818897637786,-77.36220472440945,6.102362204724401,31.692913385826778,2008-01-31,2008-12-31,2009-12-31,2008-03-31,2010-12-31,2008-06-30,Yes,Less Closely Related,NYSE
